game_id,game_date,away_team_id,home_team_id
401824809,2025-11-04,2329,248
401826885,2025-11-04,57,12
401812785,2025-11-04,2441,41
401820577,2025-11-03,2514,2599
401826083,2025-11-04,2473,130
401819834,2025-11-04,222,252
401817239,2025-11-04,2569,97
401813756,2025-11-04,331,26
401826784,2025-11-04,2582,8
401812260,2025-11-04,155,333
401812282,2025-11-04,161,66
401827170,2025-11-04,2296,356
401823483,2025-11-04,2382,2633
401819882,2025-11-04,2739,2305
401823474,2025-11-04,2065,2
401824031,2025-11-04,2640,2250
401827219,2025-11-04,2142,127
401826911,2025-11-04,2097,275
401817262,2025-11-04,2110,153
401823449,2025-11-03,2511,2737
401817194,2025-11-03,71,179
401830655,2025-11-03,3166,2837
401828511,2025-11-03,130174,2320
401827039,2025-11-03,128256,2504
401826859,2025-11-03,2437,93
401829447,2025-11-03,2398,2617
401825586,2025-11-03,2464,2181
401824943,2025-11-03,2645,284
401827511,2025-11-03,2725,2182
401823513,2025-11-03,3169,2678
401827734,2025-11-03,2247,2199
401827274,2025-11-03,3149,2619
401824867,2025-11-03,231,2272
401823425,2025-11-03,2572,2084
401823374,2025-11-03,85,194
401822757,2025-11-03,2154,120
401813272,2025-11-03,2415,46
401829496,2025-11-04,295,193
401829437,2025-11-04,2215,2643
401829429,2025-11-04,2841,236
401829423,2025-11-04,142,47
401829052,2025-11-04,324,2711
401829048,2025-11-04,2032,195
401829042,2025-11-04,107730,2229
401828718,2025-11-04,50024,2450
401828642,2025-11-04,111949,2166
401828575,2025-11-04,111166,2413
401828469,2025-11-04,3077,2335
401828335,2025-11-04,2488,338
401828306,2025-11-04,3083,55
401827503,2025-11-04,111179,2729
401827448,2025-11-04,2839,232
401827261,2025-11-04,276,113
401826991,2025-11-04,124942,2344
401826855,2025-11-04,3156,2330
401826766,2025-11-04,7933,261
401826760,2025-11-04,111913,2349
401826697,2025-11-04,2747,2244
401826068,2025-11-04,2710,2515
401823588,2025-11-04,2418,350
401823468,2025-11-04,6,2649
401823454,2025-11-04,2026,2117
401823415,2025-11-04,326,189
401823407,2025-11-04,2233,2750
401823381,2025-11-04,108799,94
401823224,2025-11-04,128550,526
401823187,2025-11-04,2217,213
401823008,2025-11-04,2653,2309
401822734,2025-11-04,2681,2670
401822666,2025-11-04,322,2603
401822317,2025-11-04,309,2050
401820613,2025-11-04,2803,2561
401820595,2025-11-04,256,2006
401819842,2025-11-04,2717,2132
401817517,2025-11-04,2127,259
401817476,2025-11-04,2066,183
401817441,2025-11-04,2754,221
401817252,2025-11-04,2428,152
401817211,2025-11-04,103,2226
401817163,2025-11-04,56,227
401813373,2025-11-04,315,2184
401813345,2025-11-04,2099,2168
401812916,2025-11-04,160,228
401812642,2025-11-04,126751,2115
401812625,2025-11-04,2520,258
401812350,2025-11-04,112358,87
401809073,2025-11-04,48,2083
401813319,2025-11-04,2368,2752
401812659,2025-11-04,107,2507
401829442,2025-11-04,3134,2377
401827087,2025-11-04,2281,2755
401826891,2025-11-04,2612,2550
401826850,2025-11-04,2400,5
401824356,2025-11-04,104,111
401823358,2025-11-04,2635,98
401823330,2025-11-04,2326,2534
401823213,2025-11-04,91,61
401820296,2025-11-04,2379,59
401820149,2025-11-04,2426,2506
401811965,2025-11-04,2005,2057
401829451,2025-11-04,2865,140
401829426,2025-11-04,2466,245
401829384,2025-11-04,2225,2634
401828916,2025-11-04,2816,79
401828330,2025-11-04,2568,2277
401828281,2025-11-04,589,202
401827171,2025-11-04,494,2010
401826967,2025-11-04,2241,135
401826792,2025-11-04,2951,349
401826085,2025-11-04,2381,302
401825381,2025-11-04,2698,158
401824946,2025-11-04,288,238
401823864,2025-11-04,126794,250
401823460,2025-11-04,2433,2459
401823367,2025-11-04,2174,82
401823020,2025-11-04,399,269
401822339,2025-11-04,2130,305
401822308,2025-11-04,2261,270
401820796,2025-11-04,282,2429
401820209,2025-11-04,2385,77
401819823,2025-11-04,292,239
401817527,2025-11-04,44,154
401817452,2025-11-04,2627,2567
401817182,2025-11-04,2546,139
401817153,2025-11-04,325,2350
401817141,2025-11-04,311,45
401809413,2025-11-04,294,2390
401808948,2025-11-04,2545,145
401808890,2025-11-04,2443,2628
401830627,2025-11-04,2081,2046
401828274,2025-11-04,2424,249
401826842,2025-11-04,2535,2655
401823756,2025-11-04,425,2751
401820484,2025-11-04,386,357
401812379,2025-11-04,2598,201
401811101,2025-11-04,3101,233
401826812,2025-11-04,50,58
401824823,2025-11-04,2275,2116
401829471,2025-11-04,2571,2771
401828472,2025-11-04,3081,2638
401828287,2025-11-04,3218,149
401827910,2025-11-04,224,328
401826930,2025-11-04,110418,2692
401824068,2025-11-04,109670,2492
401823813,2025-11-04,2269,68
401823807,2025-11-04,2916,36
401823521,2025-11-04,241,2000
401823391,2025-11-04,2870,2253
